,Başlık,İçerik,Kategori
86,"Dalgaların sürüklediği taşlar, park ve sosyal tesislere zarar verdi","Rize'de dalgaların kıyıya sürüklediği taşlar, sahil kesimindeki park ve sosyal tesislere zarar verdi.",Türkiye
87,Depremde zarar gören Hatay Havalimanı'nda çift yönlü uçuşlar başlıyor,"Ulaştırma ve Altyapı Bakanı Abdulkadir Uraloğlu, Hatay Havalimanı'nda hem geliş hem de gidişte bilet satışlarını çift yönde bugün itibarıyla kullanıma açtıklarını belirterek, ""İnşallah cuma günü yani 29 Mart itibarıyla da Hatay'da çift yönlü olarak yolcu taşımasını başlatmış oluyoruz"" dedi.",Türkiye
88,"""Alo Fetva Hattı"" ramazanda günde 13 binden fazla soruyu cevaplıyor","Diyanet İşleri Başkanlığı'nın ""Alo 190 Dini Soruları Cevaplandırma Hattı"", ramazan ayında günde 13 binden fazla soruyu cevaplıyor.",Türkiye
89,Kalkan-17 operasyonlarında 44 göçmen kaçakçısı yakalandı,"İçişleri Bakanı Ali Yerlikaya, 6 ilde düzenlenen Kalkan-17 operasyonlarında 44 göçmen kaçakçılığı organizatörü ve 881 düzensiz göçmenin yakalandığını açıkladı.",Türkiye
90,"Freni arızalanan otobüs, bir araca ve demir korkuluklara çarptı","Bursa'nın Yıldırım ilçesinde freni arızalanan otobüs, bir araca ve sitenin demir korkuluklarına çarparak durabildi.",Türkiye
91,İslahiye'deki depremzede hak sahiplerinin yarısından çoğunun evi hazır,Kahramanmaraş merkezli 6 Şubat 2023'teki depremlerden etkilenen Gaziantep'in İslahiye ilçesindeki hak sahipleri için kurası çekilen konutların oranı yüzde 55'e ulaştı.,Türkiye
92,TCDD ekiplerinin karla mücadelesi sürüyor,Kars'ın Sarıkamış ilçesinde turistik ve yük trenlerinin güvenli şekilde seyredebilmesi için Türkiye Cumhuriyeti Devlet Demiryolları (TCDD) görevlilerinin karla mücadelesi sürüyor.,Türkiye
93,Türkiye'nin su depolama kapasitesi artırılacak,"Tarım ve Orman Bakanlığı Devlet Su İşleri (DSİ) Genel Müdürlüğü tarafından 5 yılda tamamlanacak 364 baraj ve göletle Türkiye'nin su depolama kapasitesinin 9,8 milyar metreküp daha artırılması planlanıyor.",Türkiye
94,"""Para sayma"" soruşturması devam ediyor","CHP İstanbul İl Başkanlığı'nda çekildiği öne sürülen para sayma görüntülerine ilişkin yürütülen soruşturmada, Maltepe Belediye Başkanı Ali Kılıç'ın, ""şüpheli"" olarak ifadesi alındı.",Türkiye
95,İstanbul'da PKK/KCK'ya operasyon: 10 gözaltı,İstanbul'da terör örgütü PKK/KCK'nın gençlik yapılanmasına yönelik operasyonda 10 şüpheli gözaltına alındı.,Türkiye
96,Beşiktaş'taki iş yerine silahlı saldırıyla ilgili 5 kişi yakalandı,"İçişleri Bakanı Ali Yerlikaya, Beşiktaş’taki bir iş yerine yapılan silahlı saldırı eylemine yönelik düzenlenen ""Mahzen-22” operasyonunda 5 şüphelinin yakalandığını açıkladı.",Türkiye
97,Antalya'da çocuğun köpeklerden kaçarken ölmesiyle ilgili davanın duruşması yapıldı,"Antalya'da 9 yaşındaki Mahra Melin Pınar'ın sahipsiz köpeklerden kaçarken kamyonun altında kalarak hayatını kaybetmesine ilişkin olarak Serik Belediyesi Veteriner İşleri Müdürünün, ""taksirle öldürme"" suçundan yargılanmasına başlandı.",Türkiye
98,Kırklareli'nde dolan göletin fazla sularının kontrolsüz tahliye olacağı uyarısı,"Kırklareli'nin Pınarhisar ilçesindeki Evciler Göleti'nin dolu olması nedeniyle fazla suyun dere yatağından kontrolsüz tahliye olacağı uyarısında bulunuldu, tedbirli olunması istendi.",Türkiye
99,Seçim günü hava sıcak olacak,"Türkiye, 31 Mart'ta yapılacak Mahalli İdareler Genel Seçimleri'ne parçalı ve az bulutlu bir havada girecek. Sıcaklıklar mevsim normallerinin üzerinde seyredecek.",Türkiye
100,Kırklareli'nde dolan göletin fazla sularının kontrolsüz tahliye olacağı uyarısı,"Kırklareli'nin Pınarhisar ilçesindeki Evciler Göleti'nin dolu olması nedeniyle fazla suyun dere yatağından kontrolsüz tahliye olacağı uyarısında bulunuldu, tedbirli olunması istendi.",Türkiye
101,Seçim günü hava sıcak olacak,"Türkiye, 31 Mart'ta yapılacak Mahalli İdareler Genel Seçimleri'ne parçalı ve az bulutlu bir havada girecek. Sıcaklıklar mevsim normallerinin üzerinde seyredecek.",Türkiye
102,Zonguldak'ta ruhsatsız işletilen 3 maden ocağı imha edildi,"Zonguldak'ın Kilimli ilçesinde ruhsatsız işletildiği belirlenen 3 maden ocağı, TTK ekipleri tarafından imha edildi.",Türkiye
103,"Hatay'da ""Mahzen-21"" operasyonu: 13 gözaltı","Hatay’da eş zamanlı olarak düzenlenen ""Mahzen-21"" operasyonunda ""Alevler"" olarak bilinen göçmen kaçakçılığı organize suç örgütü çökertildi. Operasyonda elebaşının da içerisinde olduğu 13 şüpheli yakalandı.",Türkiye
