,Başlık,İçerik,Kategori
88,Potada 38. Türkiye Kupası sahibini bulacak,"Basketbolda 38. kez düzenlenen Erkekler Türkiye Kupası'nda Anadolu Efes ile Fenerbahçe Beko, 18 Şubat Pazar günü Konya'da finalde karşı karşıya gelecek.",Spor
89,Basketbol Erkekler Türkiye Kupası'nda şampiyon belli olacak,Basketbol Erkekler ING Türkiye Kupası finalinde 18 Şubat Pazar günü Anadolu Efes ile Fenerbahçe Beko karşı karşıya gelecek.,Spor
90,Milli sporcu Didem Kirazcı kariyerini 3 altın madalyayla noktalamak istiyor,"İşitme engeli milli sporcu Didem Kirazcı, Avrupa, dünya ve olimpiyat şampiyonu olup kariyerini tamamlamak istiyor.",Spor
91,Bilal Erdoğan: Geleneksel sporlara yerel yönetimlerin de destek sunması gerekiyor,"50 ülkenin temsilcilerinin yer aldığı 6’ıncı Etnospor Forumu Antalya'da başladı. 6. Etnospor Forumu'nda Bakanlar Paneli gerçekleştirildi. Panelde konuşan Dünya Etnospor Konfederasyonu Başkanı Bilal Erdoğan, ""Geleneksel sporlara hükümetlerin yanı sıra belediyelerin, yerel yönetimlerin de destek sunması gerekiyor"" dedi.",Spor
92,Milli halterci Dilara Narin Avrupa'da 3 altın madalya ile şampiyonluk hedefliyor,"Milli halterci Dilara Narin, Bulgaristan'da düzenlenen Avrupa Şampiyonası'nda koparmada, silkmede ve toplamda 3 altın madalya ile Avrupa şampiyonluğu kazanmak hedefiyle podyuma çıkacağını söyledi.",Spor
93,"""İlklerin yüzücüsü"" Bengisu'nun ""7 Okyanus"" hedefine 3 adım kaldı","İngiltere ile Fransa arasındaki Manş Denizi'ni en hızlı yüzerek geçen Türk kadını olan 28 yaşındaki ultra maraton yüzücüsü Bengisu Avcı, Yeni Zelanda'daki Cook Boğazı'nı geçerek bir ilke daha imza attı.",Spor
94,Busenaz Sürmeneli gözünü ikinci olimpiyat şampiyonluğuna dikti:,"Olimpiyatlarda boksta Türkiye'nin ilk ve tek altın madalyalı boksörü olan Busenaz Sürmeneli, ikinci kez olimpiyat şampiyonluğunu kazanarak adını tarihe altın harflerle yazdırmak istiyor.",Spor
95,Halter Federasyonu haltercilerin performansından memnun,"Türkiye Halter Federasyonu Başkanı Talat Ünlü, Bulgaristan'da düzenlenen Avrupa Halter Şampiyonası'nda şu ana kadar 5'i altın 18 madalya kazanarak gayet güzel bir başarı yakaladıklarını belirtti.",Spor
96,6. Etnospor Forumu Antalya'da başladı,"Gençlik ve Spor Bakanı Osman Aşkın Bak, ""Spor bir endüstri ve bu endüstri içinde özellikle kültürümüzü, değerlerimizi korumamız gerekiyor. Bu hususta Dünya Etnospor Konfederasyonu vizyon ortaya koydu."" dedi.",Spor
97,Alanyaspor Adana Demirspor ile karşılaşacak,"Coredon Alanyaspor, Trendyol Süper Lig'in 26. haftasında 18 Şubat Pazar günü Yukatel Adana Demirspor ile karşılaşacak.",Spor
