,Başlık,İçerik,Kategori
76,Çin'den yabancı şirketlerin önündeki engelleri kaldırma mesajı,"Çin Başbakanı Li Çiang, yabancı yatırımcıların ülkede karşılaştığı sorunların ve piyasaya erişimde yaşadıkları sıkıntıların aşılması için adım atacaklarını bildirdi.",Ekonomi
77,KOBİ'ler yeni dönemde KOSGEB destekleriyle büyüyecek,"Küçük ve Orta Ölçekli İşletmeleri Geliştirme ve Destekleme İdaresi Başkanlığı (KOSGEB), 2024-2028 döneminde KOBİ düzeyindeki işletmelere, çok çeşitli konularda destek sağlayacak. Odak alanlarda kuruluşu desteklenen işletme sayısının 2028 itibarıyla 23 bin 500 olması bekleniyor.",Ekonomi
78,Bakan Bayraktar: Ramazan sonunda Gabar'da günlük petrol üretimi 40 bin varile ulaşacak,"Enerji ve Tabii Kaynaklar Bakanı Alparslan Bayraktar, Gabar'da günlük 37 bin varil petrol ürettiklerini belirterek, ""Ramazan sonunda 40 bin varile çıkacağız. Hedefimiz, yıl sonu 100 bin varil"" dedi.",Ekonomi
79,Türkiye'nin bitkisel üretimi 2023'te 137 milyon tona çıktı,"Tarım ve Orman Bakanı İbrahim Yumaklı, ""2022 yılı sonu itibarıyla bizim bitkisel üretim rakamımız 129 milyon tondu. 2023'te bu rakam 137 milyon tona çıkmış durumda. İnşallah 2024 yılında bu rakamı çok daha ileriye taşıyacağız."" dedi.",Ekonomi
80,"Makine ihracatından 2 ayda 4,4 milyar dolar gelir","Yılın ilk 2 ayı sonunda Türkiye'nin serbest bölgeler dahil toplam makine ihracatı 4,4 milyar dolar oldu.",Ekonomi
81,Küresel piyasalar haftayı rekorla kapattı,"Küresel pay piyasaları, merkez bankaları haftasını rekorlarla tamamlarken, gelecek hafta ABD'de büyüme verileri başta olmak üzere yoğun veri gündemi yatırımcıların odağında olacak.",Ekonomi
82,Gümrük Muhafaza 922 milyon liralık kaçakçılığı önledi,"Ticaret Bakanlığı Gümrük Muhafaza ekipleri tarafından gerçekleştirilen operasyonlarda, yaklaşık 922 milyon lira değerinde uyuşturucu, gümrük kaçağı altın, sigara, yedek parça ve eşya ele geçirildi.",Ekonomi
83,Yeni inşa edilecek deniz ve iç su araçları teşviklerinde düzenleme,"Hurdaya ayrılacak 20 yaş ve üzerindeki ticari gemi, deniz ve iç su araçlarının yerine inşa edilecek araçlara yönelik teşviklerle ilgili düzenlemeye gidildi.",Ekonomi
84,Elektrikli taşıt kredisi tutarlarında düzenleme,Nihai fatura değeri 1 milyon 600 bin lira ve altında olan elektrikli taşıt alımı amacıyla kullandırılan kredilerde vade sınırı 48 ay olarak belirlendi.,Ekonomi
85,Bakan Yumaklı: Kullandığımız tohumların yüzde 97'si bu topraklarda üretiliyor,"Tarım ve Orman Bakanı İbrahim Yumaklı, ""Türkiye, tohumla alakalı dünyadaki ilk 10 ülkeden biridir. Türkiye'de yılda yaklaşık 1,3 milyon ton tohum üretilmektedir. Kullandığımız tohumların yüzde 97'si bu topraklarda üretilmektedir."" dedi.",Ekonomi
86,Küresel ham çelik üretimi şubatta arttı,"Küresel ham çelik üretimi, şubatta geçen yılın aynı ayına göre yüzde 3,7 artarak 148,8 milyon tona yükseldi. Türkiye'nin ham çelik üretimi ise aynı dönemde yüzde 46,6 artarak 3,1 milyon tona ulaştı.",Ekonomi
